Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Year,Total.On.Board,Fatal.Injury.Likelihood,Serious.Injury.Likelihood,Severe.Injury.Risk,Aircraft.Destroyed,Aircraft.ID
20001211X14010,Accident,LAX92LA093,1992-01-14,"HONOLULU, HI",United States,,,,,Fatal(5),destroyed,N787AM,cessna,310q,No,2.0,reciprocating,personal,5.0,0.0,0.0,0.0,imc,cruise,Probable Cause,02-07-1993,1992,5.0,1.0,0.0,1.0,1,cessna_310q
20001211X13989,Accident,FTW92LA057,1992-01-14,"ALBUQUERQUE, NM",United States,,,AEG,DOUGLE EAGLE II,Non-Fatal,substantial,N4885G,cessna,172n,No,1.0,reciprocating,instructional,0.0,0.0,0.0,1.0,vmc,landing,Probable Cause,11-06-1993,1992,1.0,0.0,0.0,0.0,0,cessna_172n
20001211X13988,Accident,FTW92LA056,1992-01-14,"SPRING, TX",United States,,,,,Non-Fatal,substantial,N8352Z,cessna,205a,No,1.0,reciprocating,business,0.0,0.0,0.0,2.0,vmc,cruise,Probable Cause,11-06-1993,1992,2.0,0.0,0.0,0.0,0,cessna_205a
20001211X13940,Accident,BFO92FA022,1992-01-15,"EDISON, NJ",United States,,,,,Fatal(1),destroyed,N8674F,hughes,369d,No,1.0,turbo shaft,business,1.0,0.0,0.0,0.0,vmc,cruise,Probable Cause,28-09-1993,1992,1.0,1.0,0.0,1.0,1,hughes_369d
20001211X13924,Incident,ANC92IA029,1992-01-15,"PORT MOLLER, AK",United States,,,PML,PORT MOLLER,Incident,minor,N70076,cessna,207,No,1.0,reciprocating,unknown,0.0,0.0,0.0,6.0,vmc,takeoff,Probable Cause,30-06-1993,1992,6.0,0.0,0.0,0.0,0,cessna_207
20001211X14036,Accident,MIA92LA064,1992-01-15,"POMPANO BEACH, FL",United States,,,PMP,POMPANO BEACH AIRPARK,Non-Fatal,substantial,N5119N,hughes,369d,No,1.0,turbo shaft,instructional,0.0,0.0,0.0,2.0,vmc,landing,Probable Cause,13-08-1993,1992,2.0,0.0,0.0,0.0,0,hughes_369d
20001211X13980,Accident,DEN92LA026,1992-01-15,"ENGLEWOOD, CO",United States,,,APA,CENTENNIAL,Non-Fatal,substantial,N65513,cessna,172p,No,1.0,reciprocating,instructional,0.0,0.0,0.0,2.0,vmc,takeoff,Probable Cause,11-06-1993,1992,2.0,0.0,0.0,0.0,0,cessna_172p
20001211X13932,Accident,ATL92FA040,1992-01-16,"COLUMBIA, SC",United States,,,CUB,OWENS DOWNTOWN AIRPORT,Fatal(2),substantial,N1976N,cessna,140,No,1.0,reciprocating,personal,2.0,0.0,0.0,0.0,vmc,takeoff,Probable Cause,17-09-1993,1992,2.0,1.0,0.0,1.0,0,cessna_140
20001211X13949,Accident,BFO92LA023,1992-01-17,"PUT IN BAY, OH",United States,,,OH30,PUT IN BAY,Non-Fatal,substantial,N9042X,cessna,182-d,No,1.0,reciprocating,unknown,0.0,0.0,0.0,2.0,vmc,landing,Probable Cause,11-06-1993,1992,2.0,0.0,0.0,0.0,0,cessna_182-d
20001211X14000,Accident,LAX92FA094,1992-01-18,"SANTA MONICA, CA",United States,,,SMO,SANTA MONICA MUNI,Fatal(2),destroyed,N6481U,mooney,m-20-c,No,1.0,reciprocating,personal,2.0,0.0,0.0,0.0,vmc,takeoff,Probable Cause,26-05-1993,1992,2.0,1.0,0.0,1.0,1,mooney_m-20-c
